Year,Units,Geography,Fuel type,Demand characteristics,Value
2016,Terajoules,Newfoundland and Labrador,Hydroelectricity,Residential,15514.0
2017,Terajoules,Newfoundland and Labrador,Hydroelectricity,Residential,15418.0
2018,Terajoules,Newfoundland and Labrador,Hydroelectricity,Residential,15349.0
2019,Terajoules,Newfoundland and Labrador,Hydroelectricity,Residential,15272.0
2015,Terajoules,Newfoundland and Labrador,Hydroelectricity,Public administration,602.0
2016,Terajoules,Newfoundland and Labrador,Hydroelectricity,Public administration,600.0
2017,Terajoules,Newfoundland and Labrador,Hydroelectricity,Public administration,775.0
2018,Terajoules,Newfoundland and Labrador,Hydroelectricity,Public administration,819.0
2019,Terajoules,Newfoundland and Labrador,Hydroelectricity,Public administration,820.0
2015,Terajoules,Newfoundland and Labrador,Hydroelectricity,Commercial and other institutional,8410.0
2016,Terajoules,Newfoundland and Labrador,Hydroelectricity,Commercial and other institutional,8245.0
2017,Terajoules,Newfoundland and Labrador,Hydroelectricity,Commercial and other institutional,8452.0
2018,Terajoules,Newfoundland and Labrador,Hydroelectricity,Commercial and other institutional,8290.0
2019,Terajoules,Newfoundland and Labrador,Hydroelectricity,Commercial and other institutional,8329.0
2015,Terajoules,Newfoundland and Labrador,Coke,Energy use - final demand,
2016,Terajoules,Newfoundland and Labrador,Coke,Energy use - final demand,
2017,Terajoules,Newfoundland and Labrador,Coke,Energy use - final demand,
2018,Terajoules,Newfoundland and Labrador,Coke,Energy use - final demand,0.0
2019,Terajoules,Newfoundland and Labrador,Coke,Energy use - final demand,0.0
2015,Terajoules,Newfoundland and Labrador,Coke,Total industrial,
2016,Terajoules,Newfoundland and Labrador,Coke,Total industrial,
2017,Terajoules,Newfoundland and Labrador,Coke,Total industrial,
2018,Terajoules,Newfoundland and Labrador,Coke,Total industrial,0.0
2019,Terajoules,Newfoundland and Labrador,Coke,Total industrial,0.0
2015,Terajoules,Newfoundland and Labrador,Total refined petroleum products,Energy use - final demand,83673.0
2016,Terajoules,Newfoundland and Labrador,Total refined petroleum products,Energy use - final demand,88079.0
2017,Terajoules,Newfoundland and Labrador,Total refined petroleum products,Energy use - final demand,85857.0
2018,Terajoules,Newfoundland and Labrador,Total refined petroleum products,Energy use - final demand,84822.0
2019,Terajoules,Newfoundland and Labrador,Total refined petroleum products,Energy use - final demand,84192.0
2015,Terajoules,Newfoundland and Labrador,Total refined petroleum products,Total industrial,13672.0
2016,Terajoules,Newfoundland and Labrador,Total refined petroleum products,Total industrial,15563.0
2017,Terajoules,Newfoundland and Labrador,Total refined petroleum products,Total industrial,14500.0
2018,Terajoules,Newfoundland and Labrador,Total refined petroleum products,Total industrial,13640.0
2019,Terajoules,Newfoundland and Labrador,Total refined petroleum products,Total industrial,13842.0
2015,Terajoules,Newfoundland and Labrador,Total refined petroleum products,Total transportation,52459.0
2016,Terajoules,Newfoundland and Labrador,Total refined petroleum products,Total transportation,53205.0
2017,Terajoules,Newfoundland and Labrador,Total refined petroleum products,Total transportation,53727.0
2018,Terajoules,Newfoundland and Labrador,Total refined petroleum products,Total transportation,53253.0
2019,Terajoules,Newfoundland and Labrador,Total refined petroleum products,Total transportation,52360.0
2015,Terajoules,Newfoundland and Labrador,Total refined petroleum products,Agriculture,237.0
2016,Terajoules,Newfoundland and Labrador,Total refined petroleum products,Agriculture,239.0
2017,Terajoules,Newfoundland and Labrador,Total refined petroleum products,Agriculture,182.0
2018,Terajoules,Newfoundland and Labrador,Total refined petroleum products,Agriculture,176.0
2019,Terajoules,Newfoundland and Labrador,Total refined petroleum products,Agriculture,271.0
2015,Terajoules,Newfoundland and Labrador,Total refined petroleum products,Residential,3574.0
2016,Terajoules,Newfoundland and Labrador,Total refined petroleum products,Residential,4151.0
2017,Terajoules,Newfoundland and Labrador,Total refined petroleum products,Residential,5319.0
2018,Terajoules,Newfoundland and Labrador,Total refined petroleum products,Residential,5063.0
2019,Terajoules,Newfoundland and Labrador,Total refined petroleum products,Residential,4799.0
2015,Terajoules,Newfoundland and Labrador,Total refined petroleum products,Public administration,4187.0
2016,Terajoules,Newfoundland and Labrador,Total refined petroleum products,Public administration,3551.0
2017,Terajoules,Newfoundland and Labrador,Total refined petroleum products,Public administration,3374.0
2018,Terajoules,Newfoundland and Labrador,Total refined petroleum products,Public administration,2797.0
2019,Terajoules,Newfoundland and Labrador,Total refined petroleum products,Public administration,2584.0
2015,Terajoules,Newfoundland and Labrador,Total refined petroleum products,Commercial and other institutional,9544.0
2016,Terajoules,Newfoundland and Labrador,Total refined petroleum products,Commercial and other institutional,11371.0
2017,Terajoules,Newfoundland and Labrador,Total refined petroleum products,Commercial and other institutional,8755.0
2018,Terajoules,Newfoundland and Labrador,Total refined petroleum products,Commercial and other institutional,9893.0
2019,Terajoules,Newfoundland and Labrador,Total refined petroleum products,Commercial and other institutional,10337.0
2015,Terajoules,Prince Edward Island,Total primary and secondary energy,Energy use - final demand,23029.0
2016,Terajoules,Prince Edward Island,Total primary and secondary energy,Energy use - final demand,23586.0
2017,Terajoules,Prince Edward Island,Total primary and secondary energy,Energy use - final demand,23792.0
2018,Terajoules,Prince Edward Island,Total primary and secondary energy,Energy use - final demand,23418.0
2019,Terajoules,Prince Edward Island,Total primary and secondary energy,Energy use - final demand,24178.0
2015,Terajoules,Prince Edward Island,Total primary and secondary energy,Total industrial,2577.0
2016,Terajoules,Prince Edward Island,Total primary and secondary energy,Total industrial,2527.0
2017,Terajoules,Prince Edward Island,Total primary and secondary energy,Total industrial,2709.0
2018,Terajoules,Prince Edward Island,Total primary and secondary energy,Total industrial,2292.0
2019,Terajoules,Prince Edward Island,Total primary and secondary energy,Total industrial,2803.0
2015,Terajoules,Prince Edward Island,Total primary and secondary energy,Total transportation,10844.0
2016,Terajoules,Prince Edward Island,Total primary and secondary energy,Total transportation,11657.0
2017,Terajoules,Prince Edward Island,Total primary and secondary energy,Total transportation,11535.0
2018,Terajoules,Prince Edward Island,Total primary and secondary energy,Total transportation,11428.0
2019,Terajoules,Prince Edward Island,Total primary and secondary energy,Total transportation,11428.0
2015,Terajoules,Prince Edward Island,Total primary and secondary energy,Agriculture,2180.0
2016,Terajoules,Prince Edward Island,Total primary and secondary energy,Agriculture,2286.0
2017,Terajoules,Prince Edward Island,Total primary and secondary energy,Agriculture,2280.0
2018,Terajoules,Prince Edward Island,Total primary and secondary energy,Agriculture,2426.0
2019,Terajoules,Prince Edward Island,Total primary and secondary energy,Agriculture,2515.0
2015,Terajoules,Prince Edward Island,Total primary and secondary energy,Residential,3662.0
2016,Terajoules,Prince Edward Island,Total primary and secondary energy,Residential,3673.0
2017,Terajoules,Prince Edward Island,Total primary and secondary energy,Residential,3742.0
2018,Terajoules,Prince Edward Island,Total primary and secondary energy,Residential,3625.0
2019,Terajoules,Prince Edward Island,Total primary and secondary energy,Residential,3788.0
2015,Terajoules,Prince Edward Island,Total primary and secondary energy,Public administration,459.0
2016,Terajoules,Prince Edward Island,Total primary and secondary energy,Public administration,538.0
2017,Terajoules,Prince Edward Island,Total primary and secondary energy,Public administration,494.0
2018,Terajoules,Prince Edward Island,Total primary and secondary energy,Public administration,537.0
2019,Terajoules,Prince Edward Island,Total primary and secondary energy,Public administration,551.0
2015,Terajoules,Prince Edward Island,Total primary and secondary energy,Commercial and other institutional,3320.0
2016,Terajoules,Prince Edward Island,Total primary and secondary energy,Commercial and other institutional,2904.0
2017,Terajoules,Prince Edward Island,Total primary and secondary energy,Commercial and other institutional,3029.0
2018,Terajoules,Prince Edward Island,Total primary and secondary energy,Commercial and other institutional,3108.0
2019,Terajoules,Prince Edward Island,Total primary and secondary energy,Commercial and other institutional,3090.0
2015,Terajoules,Prince Edward Island,Total coal,Energy use - final demand,0.0
2016,Terajoules,Prince Edward Island,Total coal,Energy use - final demand,0.0
2017,Terajoules,Prince Edward Island,Total coal,Energy use - final demand,0.0
2018,Terajoules,Prince Edward Island,Total coal,Energy use - final demand,0.0
2019,Terajoules,Prince Edward Island,Total coal,Energy use - final demand,0.0
2015,Terajoules,Prince Edward Island,Natural gas,Energy use - final demand,
2016,Terajoules,Prince Edward Island,Natural gas,Energy use - final demand,
2017,Terajoules,Prince Edward Island,Natural gas,Energy use - final demand,
2018,Terajoules,Prince Edward Island,Natural gas,Energy use - final demand,772.0
2019,Terajoules,Prince Edward Island,Natural gas,Energy use - final demand,1074.0
2015,Terajoules,Prince Edward Island,Natural gas,Total industrial,
2016,Terajoules,Prince Edward Island,Natural gas,Total industrial,
2017,Terajoules,Prince Edward Island,Natural gas,Total industrial,
2018,Terajoules,Prince Edward Island,Natural gas,Total industrial,772.0
2019,Terajoules,Prince Edward Island,Natural gas,Total industrial,1074.0
2015,Terajoules,Prince Edward Island,Gas plant natural gas liquids (NGL's),Energy use - final demand,
2016,Terajoules,Prince Edward Island,Gas plant natural gas liquids (NGL's),Energy use - final demand,
2017,Terajoules,Prince Edward Island,Gas plant natural gas liquids (NGL's),Energy use - final demand,
2018,Terajoules,Prince Edward Island,Gas plant natural gas liquids (NGL's),Energy use - final demand,249.0
2019,Terajoules,Prince Edward Island,Gas plant natural gas liquids (NGL's),Energy use - final demand,306.0
2015,Terajoules,Prince Edward Island,Gas plant natural gas liquids (NGL's),Total industrial,26.0
2016,Terajoules,Prince Edward Island,Gas plant natural gas liquids (NGL's),Total industrial,48.0
2017,Terajoules,Prince Edward Island,Gas plant natural gas liquids (NGL's),Total industrial,45.0
2018,Terajoules,Prince Edward Island,Gas plant natural gas liquids (NGL's),Total industrial,44.0
2019,Terajoules,Prince Edward Island,Gas plant natural gas liquids (NGL's),Total industrial,42.0
2015,Terajoules,Prince Edward Island,Gas plant natural gas liquids (NGL's),Total transportation,
2016,Terajoules,Prince Edward Island,Gas plant natural gas liquids (NGL's),Total transportation,
2017,Terajoules,Prince Edward Island,Gas plant natural gas liquids (NGL's),Total transportation,0.0
2018,Terajoules,Prince Edward Island,Gas plant natural gas liquids (NGL's),Total transportation,0.0
2019,Terajoules,Prince Edward Island,Gas plant natural gas liquids (NGL's),Total transportation,0.0
2015,Terajoules,Prince Edward Island,Gas plant natural gas liquids (NGL's),Agriculture,7.0
2016,Terajoules,Prince Edward Island,Gas plant natural gas liquids (NGL's),Agriculture,6.0
2017,Terajoules,Prince Edward Island,Gas plant natural gas liquids (NGL's),Agriculture,6.0
2018,Terajoules,Prince Edward Island,Gas plant natural gas liquids (NGL's),Agriculture,8.0
2019,Terajoules,Prince Edward Island,Gas plant natural gas liquids (NGL's),Agriculture,11.0
2015,Terajoules,Prince Edward Island,Gas plant natural gas liquids (NGL's),Residential,70.0
2016,Terajoules,Prince Edward Island,Gas plant natural gas liquids (NGL's),Residential,56.0
2017,Terajoules,Prince Edward Island,Gas plant natural gas liquids (NGL's),Residential,60.0
2018,Terajoules,Prince Edward Island,Gas plant natural gas liquids (NGL's),Residential,76.0
2019,Terajoules,Prince Edward Island,Gas plant natural gas liquids (NGL's),Residential,98.0
2015,Terajoules,Prince Edward Island,Gas plant natural gas liquids (NGL's),Public administration,
2016,Terajoules,Prince Edward Island,Gas plant natural gas liquids (NGL's),Public administration,
2015,Terajoules,Prince Edward Island,Gas plant natural gas liquids (NGL's),Commercial and other institutional,109.0
2016,Terajoules,Prince Edward Island,Gas plant natural gas liquids (NGL's),Commercial and other institutional,85.0
2017,Terajoules,Prince Edward Island,Gas plant natural gas liquids (NGL's),Commercial and other institutional,94.0
2018,Terajoules,Prince Edward Island,Gas plant natural gas liquids (NGL's),Commercial and other institutional,119.0
2019,Terajoules,Prince Edward Island,Gas plant natural gas liquids (NGL's),Commercial and other institutional,153.0
2015,Terajoules,Prince Edward Island,Hydroelectricity,Energy use - final demand,5701.0
2016,Terajoules,Prince Edward Island,Hydroelectricity,Energy use - final demand,5544.0
2017,Terajoules,Prince Edward Island,Hydroelectricity,Energy use - final demand,5601.0
2018,Terajoules,Prince Edward Island,Hydroelectricity,Energy use - final demand,5746.0
2019,Terajoules,Prince Edward Island,Hydroelectricity,Energy use - final demand,5998.0
2015,Terajoules,Prince Edward Island,Hydroelectricity,Total industrial,
2016,Terajoules,Prince Edward Island,Hydroelectricity,Total industrial,
2017,Terajoules,Prince Edward Island,Hydroelectricity,Total industrial,819.0
2018,Terajoules,Prince Edward Island,Hydroelectricity,Total industrial,769.0
2019,Terajoules,Prince Edward Island,Hydroelectricity,Total industrial,931.0
2015,Terajoules,Prince Edward Island,Hydroelectricity,Agriculture,1342.0
2016,Terajoules,Prince Edward Island,Hydroelectricity,Agriculture,1329.0
2017,Terajoules,Prince Edward Island,Hydroelectricity,Agriculture,1352.0
2018,Terajoules,Prince Edward Island,Hydroelectricity,Agriculture,1431.0
2019,Terajoules,Prince Edward Island,Hydroelectricity,Agriculture,1499.0
2015,Terajoules,Prince Edward Island,Hydroelectricity,Residential,816.0
2016,Terajoules,Prince Edward Island,Hydroelectricity,Residential,807.0
