Year,Geography,Type of work,National Occupational Classification (NOC),Age,Value
2015,Canada,Full-time employees,Natural and applied sciences and related occupations [2],15 years and over,0.88
2016,Canada,Full-time employees,Natural and applied sciences and related occupations [2],15 years and over,0.91
2017,Canada,Full-time employees,Natural and applied sciences and related occupations [2],15 years and over,0.94
2018,Canada,Full-time employees,Natural and applied sciences and related occupations [2],15 years and over,0.94
2019,Canada,Full-time employees,Natural and applied sciences and related occupations [2],15 years and over,0.92
2020,Canada,Full-time employees,Natural and applied sciences and related occupations [2],15 years and over,0.91
2015,Canada,Full-time employees,Natural and applied sciences and related occupations [2],15 to 24 years,0.97
2016,Canada,Full-time employees,Natural and applied sciences and related occupations [2],15 to 24 years,1.0
2017,Canada,Full-time employees,Natural and applied sciences and related occupations [2],15 to 24 years,0.99
2018,Canada,Full-time employees,Natural and applied sciences and related occupations [2],15 to 24 years,0.93
2019,Canada,Full-time employees,Natural and applied sciences and related occupations [2],15 to 24 years,0.93
2020,Canada,Full-time employees,Natural and applied sciences and related occupations [2],15 to 24 years,0.96
2015,Canada,Full-time employees,Natural and applied sciences and related occupations [2],25 to 54 years,0.9
2016,Canada,Full-time employees,Natural and applied sciences and related occupations [2],25 to 54 years,0.92
2017,Canada,Full-time employees,Natural and applied sciences and related occupations [2],25 to 54 years,0.94
2018,Canada,Full-time employees,Natural and applied sciences and related occupations [2],25 to 54 years,0.93
2019,Canada,Full-time employees,Natural and applied sciences and related occupations [2],25 to 54 years,0.91
2020,Canada,Full-time employees,Natural and applied sciences and related occupations [2],25 to 54 years,0.93
2015,Canada,Full-time employees,Natural and applied sciences and related occupations [2],55 years and over,0.86
2016,Canada,Full-time employees,Natural and applied sciences and related occupations [2],55 years and over,0.94
2017,Canada,Full-time employees,Natural and applied sciences and related occupations [2],55 years and over,0.94
2018,Canada,Full-time employees,Natural and applied sciences and related occupations [2],55 years and over,0.96
2019,Canada,Full-time employees,Natural and applied sciences and related occupations [2],55 years and over,0.93
2020,Canada,Full-time employees,Natural and applied sciences and related occupations [2],55 years and over,0.94
2015,Canada,Full-time employees,Health occupations [3],15 years and over,0.93
2016,Canada,Full-time employees,Health occupations [3],15 years and over,0.94
2017,Canada,Full-time employees,Health occupations [3],15 years and over,0.92
2018,Canada,Full-time employees,Health occupations [3],15 years and over,0.94
2019,Canada,Full-time employees,Health occupations [3],15 years and over,0.91
2020,Canada,Full-time employees,Health occupations [3],15 years and over,0.91
2015,Canada,Full-time employees,Health occupations [3],15 to 24 years,1.0
2016,Canada,Full-time employees,Health occupations [3],15 to 24 years,1.05
2017,Canada,Full-time employees,Health occupations [3],15 to 24 years,1.0
2018,Canada,Full-time employees,Health occupations [3],15 to 24 years,1.05
2019,Canada,Full-time employees,Health occupations [3],15 to 24 years,1.05
2020,Canada,Full-time employees,Health occupations [3],15 to 24 years,0.92
2015,Canada,Full-time employees,Health occupations [3],25 to 54 years,0.9
2016,Canada,Full-time employees,Health occupations [3],25 to 54 years,0.94
2017,Canada,Full-time employees,Health occupations [3],25 to 54 years,0.92
2018,Canada,Full-time employees,Health occupations [3],25 to 54 years,0.94
2019,Canada,Full-time employees,Health occupations [3],25 to 54 years,0.92
2020,Canada,Full-time employees,Health occupations [3],25 to 54 years,0.93
2015,Canada,Full-time employees,Health occupations [3],55 years and over,1.13
2016,Canada,Full-time employees,Health occupations [3],55 years and over,0.87
2017,Canada,Full-time employees,Health occupations [3],55 years and over,0.96
2018,Canada,Full-time employees,Health occupations [3],55 years and over,0.89
2019,Canada,Full-time employees,Health occupations [3],55 years and over,0.86
2020,Canada,Full-time employees,Health occupations [3],55 years and over,0.9
2015,Canada,Full-time employees,Occupations in education - law and social - community and government services [4],15 years and over,0.78
2016,Canada,Full-time employees,Occupations in education - law and social - community and government services [4],15 years and over,0.77
2017,Canada,Full-time employees,Occupations in education - law and social - community and government services [4],15 years and over,0.77
2018,Canada,Full-time employees,Occupations in education - law and social - community and government services [4],15 years and over,0.78
2019,Canada,Full-time employees,Occupations in education - law and social - community and government services [4],15 years and over,0.77
2020,Canada,Full-time employees,Occupations in education - law and social - community and government services [4],15 years and over,0.79
2015,Canada,Full-time employees,Occupations in education - law and social - community and government services [4],15 to 24 years,1.13
2016,Canada,Full-time employees,Occupations in education - law and social - community and government services [4],15 to 24 years,0.9
2017,Canada,Full-time employees,Occupations in education - law and social - community and government services [4],15 to 24 years,0.83
2018,Canada,Full-time employees,Occupations in education - law and social - community and government services [4],15 to 24 years,0.91
2019,Canada,Full-time employees,Occupations in education - law and social - community and government services [4],15 to 24 years,0.94
2020,Canada,Full-time employees,Occupations in education - law and social - community and government services [4],15 to 24 years,0.95
2015,Canada,Full-time employees,Occupations in education - law and social - community and government services [4],25 to 54 years,0.8
2016,Canada,Full-time employees,Occupations in education - law and social - community and government services [4],25 to 54 years,0.79
2017,Canada,Full-time employees,Occupations in education - law and social - community and government services [4],25 to 54 years,0.79
2018,Canada,Full-time employees,Occupations in education - law and social - community and government services [4],25 to 54 years,0.8
2019,Canada,Full-time employees,Occupations in education - law and social - community and government services [4],25 to 54 years,0.8
2020,Canada,Full-time employees,Occupations in education - law and social - community and government services [4],25 to 54 years,0.82
2015,Canada,Full-time employees,Occupations in education - law and social - community and government services [4],55 years and over,0.75
2016,Canada,Full-time employees,Occupations in education - law and social - community and government services [4],55 years and over,0.73
2017,Canada,Full-time employees,Occupations in education - law and social - community and government services [4],55 years and over,0.71
2018,Canada,Full-time employees,Occupations in education - law and social - community and government services [4],55 years and over,0.76
2019,Canada,Full-time employees,Occupations in education - law and social - community and government services [4],55 years and over,0.7
