Year,Units,Geography,Offences,Age of accused,Sex of accused,Value
2014/2015,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Males,173.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Males,172.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Males,182.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Males,185.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Males,175.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Females,142.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Females,145.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Females,155.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Females,147.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Females,151.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Sex unknown,194.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Sex unknown,192.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Sex unknown,186.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Sex unknown,165.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Sex unknown,163.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,45 to 54 years,"Total, sex of accused",164.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,45 to 54 years,"Total, sex of accused",162.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,45 to 54 years,"Total, sex of accused",176.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,45 to 54 years,"Total, sex of accused",177.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,45 to 54 years,"Total, sex of accused",175.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,45 to 54 years,Males,169.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,45 to 54 years,Males,165.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,45 to 54 years,Males,182.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,45 to 54 years,Males,183.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,45 to 54 years,Males,179.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,45 to 54 years,Females,134.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,45 to 54 years,Females,141.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,45 to 54 years,Females,148.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,45 to 54 years,Females,152.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,45 to 54 years,Females,155.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,45 to 54 years,Sex unknown,194.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,45 to 54 years,Sex unknown,189.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,45 to 54 years,Sex unknown,183.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,45 to 54 years,Sex unknown,169.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,45 to 54 years,Sex unknown,168.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,55 years and over,"Total, sex of accused",159.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,55 years and over,"Total, sex of accused",163.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,55 years and over,"Total, sex of accused",169.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,55 years and over,"Total, sex of accused",171.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,55 years and over,"Total, sex of accused",164.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,55 years and over,Males,161.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,55 years and over,Males,166.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,55 years and over,Males,172.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,55 years and over,Males,174.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,55 years and over,Males,168.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,55 years and over,Females,139.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,55 years and over,Females,128.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,55 years and over,Females,135.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,55 years and over,Females,134.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,55 years and over,Females,142.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,55 years and over,Sex unknown,184.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,55 years and over,Sex unknown,204.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,55 years and over,Sex unknown,207.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,55 years and over,Sex unknown,196.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,55 years and over,Sex unknown,169.0
2014/2015,Adult criminal courts,Canada,Crimes against property,"Total, age of accused","Total, sex of accused",106.0
2015/2016,Adult criminal courts,Canada,Crimes against property,"Total, age of accused","Total, sex of accused",112.0
2016/2017,Adult criminal courts,Canada,Crimes against property,"Total, age of accused","Total, sex of accused",122.0
2017/2018,Adult criminal courts,Canada,Crimes against property,"Total, age of accused","Total, sex of accused",125.0
2018/2019,Adult criminal courts,Canada,Crimes against property,"Total, age of accused","Total, sex of accused",129.0
2014/2015,Adult criminal courts,Canada,Crimes against property,"Total, age of accused",Males,106.0
2015/2016,Adult criminal courts,Canada,Crimes against property,"Total, age of accused",Males,110.0
2016/2017,Adult criminal courts,Canada,Crimes against property,"Total, age of accused",Males,122.0
2017/2018,Adult criminal courts,Canada,Crimes against property,"Total, age of accused",Males,123.0
2018/2019,Adult criminal courts,Canada,Crimes against property,"Total, age of accused",Males,129.0
2014/2015,Adult criminal courts,Canada,Crimes against property,"Total, age of accused",Females,99.0
2015/2016,Adult criminal courts,Canada,Crimes against property,"Total, age of accused",Females,106.0
2016/2017,Adult criminal courts,Canada,Crimes against property,"Total, age of accused",Females,118.0
2017/2018,Adult criminal courts,Canada,Crimes against property,"Total, age of accused",Females,122.0
2018/2019,Adult criminal courts,Canada,Crimes against property,"Total, age of accused",Females,127.0
2014/2015,Adult criminal courts,Canada,Crimes against property,"Total, age of accused",Company,88.0
2015/2016,Adult criminal courts,Canada,Crimes against property,"Total, age of accused",Company,103.0
2016/2017,Adult criminal courts,Canada,Crimes against property,"Total, age of accused",Company,192.0
2017/2018,Adult criminal courts,Canada,Crimes against property,"Total, age of accused",Company,226.0
2018/2019,Adult criminal courts,Canada,Crimes against property,"Total, age of accused",Company,351.0
2014/2015,Adult criminal courts,Canada,Crimes against property,"Total, age of accused",Sex unknown,160.0
2015/2016,Adult criminal courts,Canada,Crimes against property,"Total, age of accused",Sex unknown,157.0
2016/2017,Adult criminal courts,Canada,Crimes against property,"Total, age of accused",Sex unknown,171.0
2017/2018,Adult criminal courts,Canada,Crimes against property,"Total, age of accused",Sex unknown,167.0
2018/2019,Adult criminal courts,Canada,Crimes against property,"Total, age of accused",Sex unknown,155.0
2014/2015,Adult criminal courts,Canada,Crimes against property,18 to 24 years,"Total, sex of accused",116.0
2015/2016,Adult criminal courts,Canada,Crimes against property,18 to 24 years,"Total, sex of accused",121.0
2016/2017,Adult criminal courts,Canada,Crimes against property,18 to 24 years,"Total, sex of accused",134.0
2017/2018,Adult criminal courts,Canada,Crimes against property,18 to 24 years,"Total, sex of accused",137.0
2018/2019,Adult criminal courts,Canada,Crimes against property,18 to 24 years,"Total, sex of accused",143.0
2014/2015,Adult criminal courts,Canada,Crimes against property,18 to 24 years,Males,117.0
2015/2016,Adult criminal courts,Canada,Crimes against property,18 to 24 years,Males,123.0
2016/2017,Adult criminal courts,Canada,Crimes against property,18 to 24 years,Males,135.0
2017/2018,Adult criminal courts,Canada,Crimes against property,18 to 24 years,Males,138.0
2018/2019,Adult criminal courts,Canada,Crimes against property,18 to 24 years,Males,145.0
2014/2015,Adult criminal courts,Canada,Crimes against property,18 to 24 years,Females,101.0
2015/2016,Adult criminal courts,Canada,Crimes against property,18 to 24 years,Females,107.0
2016/2017,Adult criminal courts,Canada,Crimes against property,18 to 24 years,Females,120.0
2017/2018,Adult criminal courts,Canada,Crimes against property,18 to 24 years,Females,127.0
2018/2019,Adult criminal courts,Canada,Crimes against property,18 to 24 years,Females,131.0
2014/2015,Adult criminal courts,Canada,Crimes against property,18 to 24 years,Sex unknown,170.0
2015/2016,Adult criminal courts,Canada,Crimes against property,18 to 24 years,Sex unknown,155.0
2016/2017,Adult criminal courts,Canada,Crimes against property,18 to 24 years,Sex unknown,177.0
2017/2018,Adult criminal courts,Canada,Crimes against property,18 to 24 years,Sex unknown,183.0
2018/2019,Adult criminal courts,Canada,Crimes against property,18 to 24 years,Sex unknown,171.0
2014/2015,Adult criminal courts,Canada,Crimes against property,25 to 34 years,"Total, sex of accused",106.0
2015/2016,Adult criminal courts,Canada,Crimes against property,25 to 34 years,"Total, sex of accused",113.0
2016/2017,Adult criminal courts,Canada,Crimes against property,25 to 34 years,"Total, sex of accused",123.0
2017/2018,Adult criminal courts,Canada,Crimes against property,25 to 34 years,"Total, sex of accused",124.0
2018/2019,Adult criminal courts,Canada,Crimes against property,25 to 34 years,"Total, sex of accused",133.0
2014/2015,Adult criminal courts,Canada,Crimes against property,25 to 34 years,Males,106.0
2015/2016,Adult criminal courts,Canada,Crimes against property,25 to 34 years,Males,108.0
2016/2017,Adult criminal courts,Canada,Crimes against property,25 to 34 years,Males,120.0
2017/2018,Adult criminal courts,Canada,Crimes against property,25 to 34 years,Males,120.0
2018/2019,Adult criminal courts,Canada,Crimes against property,25 to 34 years,Males,131.0
2014/2015,Adult criminal courts,Canada,Crimes against property,25 to 34 years,Females,106.0
2015/2016,Adult criminal courts,Canada,Crimes against property,25 to 34 years,Females,113.0
2016/2017,Adult criminal courts,Canada,Crimes against property,25 to 34 years,Females,125.0
2017/2018,Adult criminal courts,Canada,Crimes against property,25 to 34 years,Females,127.0
2018/2019,Adult criminal courts,Canada,Crimes against property,25 to 34 years,Females,134.0
2014/2015,Adult criminal courts,Canada,Crimes against property,25 to 34 years,Sex unknown,146.0
2015/2016,Adult criminal courts,Canada,Crimes against property,25 to 34 years,Sex unknown,167.0
2016/2017,Adult criminal courts,Canada,Crimes against property,25 to 34 years,Sex unknown,169.0
2017/2018,Adult criminal courts,Canada,Crimes against property,25 to 34 years,Sex unknown,168.0
2018/2019,Adult criminal courts,Canada,Crimes against property,25 to 34 years,Sex unknown,150.0
2014/2015,Adult criminal courts,Canada,Crimes against property,35 to 44 years,"Total, sex of accused",106.0
2015/2016,Adult criminal courts,Canada,Crimes against property,35 to 44 years,"Total, sex of accused",112.0
2016/2017,Adult criminal courts,Canada,Crimes against property,35 to 44 years,"Total, sex of accused",123.0
2017/2018,Adult criminal courts,Canada,Crimes against property,35 to 44 years,"Total, sex of accused",125.0
2018/2019,Adult criminal courts,Canada,Crimes against property,35 to 44 years,"Total, sex of accused",127.0
2014/2015,Adult criminal courts,Canada,Crimes against property,35 to 44 years,Males,104.0
2015/2016,Adult criminal courts,Canada,Crimes against property,35 to 44 years,Males,108.0
2016/2017,Adult criminal courts,Canada,Crimes against property,35 to 44 years,Males,121.0
2017/2018,Adult criminal courts,Canada,Crimes against property,35 to 44 years,Males,120.0
2018/2019,Adult criminal courts,Canada,Crimes against property,35 to 44 years,Males,124.0
2014/2015,Adult criminal courts,Canada,Crimes against property,35 to 44 years,Females,99.0
2015/2016,Adult criminal courts,Canada,Crimes against property,35 to 44 years,Females,112.0
2016/2017,Adult criminal courts,Canada,Crimes against property,35 to 44 years,Females,120.0
2017/2018,Adult criminal courts,Canada,Crimes against property,35 to 44 years,Females,127.0
2018/2019,Adult criminal courts,Canada,Crimes against property,35 to 44 years,Females,129.0
2014/2015,Adult criminal courts,Canada,Crimes against property,35 to 44 years,Sex unknown,164.0
2015/2016,Adult criminal courts,Canada,Crimes against property,35 to 44 years,Sex unknown,160.0
2016/2017,Adult criminal courts,Canada,Crimes against property,35 to 44 years,Sex unknown,181.0
2017/2018,Adult criminal courts,Canada,Crimes against property,35 to 44 years,Sex unknown,171.0
2018/2019,Adult criminal courts,Canada,Crimes against property,35 to 44 years,Sex unknown,151.0
2014/2015,Adult criminal courts,Canada,Crimes against property,45 to 54 years,"Total, sex of accused",98.0
2015/2016,Adult criminal courts,Canada,Crimes against property,45 to 54 years,"Total, sex of accused",105.0
2016/2017,Adult criminal courts,Canada,Crimes against property,45 to 54 years,"Total, sex of accused",114.0
2017/2018,Adult criminal courts,Canada,Crimes against property,45 to 54 years,"Total, sex of accused",121.0
2018/2019,Adult criminal courts,Canada,Crimes against property,45 to 54 years,"Total, sex of accused",125.0
2014/2015,Adult criminal courts,Canada,Crimes against property,45 to 54 years,Males,98.0
2015/2016,Adult criminal courts,Canada,Crimes against property,45 to 54 years,Males,102.0
2016/2017,Adult criminal courts,Canada,Crimes against property,45 to 54 years,Males,114.0
2017/2018,Adult criminal courts,Canada,Crimes against property,45 to 54 years,Males,121.0
2018/2019,Adult criminal courts,Canada,Crimes against property,45 to 54 years,Males,123.0
2014/2015,Adult criminal courts,Canada,Crimes against property,45 to 54 years,Females,92.0
2015/2016,Adult criminal courts,Canada,Crimes against property,45 to 54 years,Females,99.0
2016/2017,Adult criminal courts,Canada,Crimes against property,45 to 54 years,Females,110.0
2017/2018,Adult criminal courts,Canada,Crimes against property,45 to 54 years,Females,120.0
