Year,data.Geography,data.Type of work,data.National Occupational Classification (NOC),data.Age,Value
2020,data.Canada,data.Full-time employees,data.Total employees - all occupations,data.15 to 24 years,0.97
2015,data.Canada,data.Full-time employees,data.Total employees - all occupations,data.25 to 54 years,0.86
2016,data.Canada,data.Full-time employees,data.Total employees - all occupations,data.25 to 54 years,0.87
2017,data.Canada,data.Full-time employees,data.Total employees - all occupations,data.25 to 54 years,0.86
2018,data.Canada,data.Full-time employees,data.Total employees - all occupations,data.25 to 54 years,0.86
2019,data.Canada,data.Full-time employees,data.Total employees - all occupations,data.25 to 54 years,0.86
2020,data.Canada,data.Full-time employees,data.Total employees - all occupations,data.25 to 54 years,0.89
2015,data.Canada,data.Full-time employees,data.Total employees - all occupations,data.55 years and over,0.85
2016,data.Canada,data.Full-time employees,data.Total employees - all occupations,data.55 years and over,0.87
2017,data.Canada,data.Full-time employees,data.Total employees - all occupations,data.55 years and over,0.87
2018,data.Canada,data.Full-time employees,data.Total employees - all occupations,data.55 years and over,0.87
2019,data.Canada,data.Full-time employees,data.Total employees - all occupations,data.55 years and over,0.86
2020,data.Canada,data.Full-time employees,data.Total employees - all occupations,data.55 years and over,0.84
2015,data.Canada,data.Full-time employees,data.Management occupations [0],data.15 years and over,0.87
2016,data.Canada,data.Full-time employees,data.Management occupations [0],data.15 years and over,0.88
2017,data.Canada,data.Full-time employees,data.Management occupations [0],data.15 years and over,0.89
2018,data.Canada,data.Full-time employees,data.Management occupations [0],data.15 years and over,0.89
2019,data.Canada,data.Full-time employees,data.Management occupations [0],data.15 years and over,0.89
2020,data.Canada,data.Full-time employees,data.Management occupations [0],data.15 years and over,0.9
2015,data.Canada,data.Full-time employees,data.Management occupations [0],data.15 to 24 years,0.94
2016,data.Canada,data.Full-time employees,data.Management occupations [0],data.15 to 24 years,0.96
2017,data.Canada,data.Full-time employees,data.Management occupations [0],data.15 to 24 years,0.85
2018,data.Canada,data.Full-time employees,data.Management occupations [0],data.15 to 24 years,0.83
2019,data.Canada,data.Full-time employees,data.Management occupations [0],data.15 to 24 years,0.85
2020,data.Canada,data.Full-time employees,data.Management occupations [0],data.15 to 24 years,0.86
2015,data.Canada,data.Full-time employees,data.Management occupations [0],data.25 to 54 years,0.88
2016,data.Canada,data.Full-time employees,data.Management occupations [0],data.25 to 54 years,0.89
2017,data.Canada,data.Full-time employees,data.Management occupations [0],data.25 to 54 years,0.89
2018,data.Canada,data.Full-time employees,data.Management occupations [0],data.25 to 54 years,0.9
2019,data.Canada,data.Full-time employees,data.Management occupations [0],data.25 to 54 years,0.9
2020,data.Canada,data.Full-time employees,data.Management occupations [0],data.25 to 54 years,0.91
2015,data.Canada,data.Full-time employees,data.Management occupations [0],data.55 years and over,0.85
2016,data.Canada,data.Full-time employees,data.Management occupations [0],data.55 years and over,0.87
2017,data.Canada,data.Full-time employees,data.Management occupations [0],data.55 years and over,0.86
2018,data.Canada,data.Full-time employees,data.Management occupations [0],data.55 years and over,0.88
2019,data.Canada,data.Full-time employees,data.Management occupations [0],data.55 years and over,0.9
2020,data.Canada,data.Full-time employees,data.Management occupations [0],data.55 years and over,0.9
2015,data.Canada,data.Full-time employees,data.Business - finance and administration occupations [1],data.15 years and over,0.9
2016,data.Canada,data.Full-time employees,data.Business - finance and administration occupations [1],data.15 years and over,0.92
2017,data.Canada,data.Full-time employees,data.Business - finance and administration occupations [1],data.15 years and over,0.92
2018,data.Canada,data.Full-time employees,data.Business - finance and administration occupations [1],data.15 years and over,0.9
2019,data.Canada,data.Full-time employees,data.Business - finance and administration occupations [1],data.15 years and over,0.9
2020,data.Canada,data.Full-time employees,data.Business - finance and administration occupations [1],data.15 years and over,0.9
2015,data.Canada,data.Full-time employees,data.Business - finance and administration occupations [1],data.15 to 24 years,1.07
2016,data.Canada,data.Full-time employees,data.Business - finance and administration occupations [1],data.15 to 24 years,1.03
2017,data.Canada,data.Full-time employees,data.Business - finance and administration occupations [1],data.15 to 24 years,1.0
2018,data.Canada,data.Full-time employees,data.Business - finance and administration occupations [1],data.15 to 24 years,0.94
2019,data.Canada,data.Full-time employees,data.Business - finance and administration occupations [1],data.15 to 24 years,1.0
2020,data.Canada,data.Full-time employees,data.Business - finance and administration occupations [1],data.15 to 24 years,0.99
2015,data.Canada,data.Full-time employees,data.Business - finance and administration occupations [1],data.25 to 54 years,0.91
2016,data.Canada,data.Full-time employees,data.Business - finance and administration occupations [1],data.25 to 54 years,0.91
2017,data.Canada,data.Full-time employees,data.Business - finance and administration occupations [1],data.25 to 54 years,0.9
2018,data.Canada,data.Full-time employees,data.Business - finance and administration occupations [1],data.25 to 54 years,0.89
2019,data.Canada,data.Full-time employees,data.Business - finance and administration occupations [1],data.25 to 54 years,0.89
2020,data.Canada,data.Full-time employees,data.Business - finance and administration occupations [1],data.25 to 54 years,0.87
2015,data.Canada,data.Full-time employees,data.Business - finance and administration occupations [1],data.55 years and over,0.9
2016,data.Canada,data.Full-time employees,data.Business - finance and administration occupations [1],data.55 years and over,0.94
2017,data.Canada,data.Full-time employees,data.Business - finance and administration occupations [1],data.55 years and over,0.96
2018,data.Canada,data.Full-time employees,data.Business - finance and administration occupations [1],data.55 years and over,0.91
2019,data.Canada,data.Full-time employees,data.Business - finance and administration occupations [1],data.55 years and over,0.95
2020,data.Canada,data.Full-time employees,data.Business - finance and administration occupations [1],data.55 years and over,0.92
2015,data.Canada,data.Full-time employees,data.Natural and applied sciences and related occupations [2],data.15 years and over,0.88
2016,data.Canada,data.Full-time employees,data.Natural and applied sciences and related occupations [2],data.15 years and over,0.91
2017,data.Canada,data.Full-time employees,data.Natural and applied sciences and related occupations [2],data.15 years and over,0.94
2018,data.Canada,data.Full-time employees,data.Natural and applied sciences and related occupations [2],data.15 years and over,0.94
2019,data.Canada,data.Full-time employees,data.Natural and applied sciences and related occupations [2],data.15 years and over,0.92
2020,data.Canada,data.Full-time employees,data.Natural and applied sciences and related occupations [2],data.15 years and over,0.91
2015,data.Canada,data.Full-time employees,data.Natural and applied sciences and related occupations [2],data.15 to 24 years,0.97
