Year,Units,Geography,Offences,Age,Sex,Value
2016/2017,Adult criminal courts,Canada,Crimes against the person,45 to 54 years,Males,182.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,45 to 54 years,Males,183.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,45 to 54 years,Males,179.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,45 to 54 years,Females,134.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,45 to 54 years,Females,141.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,45 to 54 years,Females,148.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,45 to 54 years,Females,152.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,45 to 54 years,Females,155.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,45 to 54 years,Sex unknown,194.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,45 to 54 years,Sex unknown,189.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,45 to 54 years,Sex unknown,183.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,45 to 54 years,Sex unknown,169.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,45 to 54 years,Sex unknown,168.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,55 years and over,Total,159.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,55 years and over,Total,163.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,55 years and over,Total,169.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,55 years and over,Total,171.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,55 years and over,Total,164.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,55 years and over,Males,161.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,55 years and over,Males,166.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,55 years and over,Males,172.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,55 years and over,Males,174.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,55 years and over,Males,168.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,55 years and over,Females,139.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,55 years and over,Females,128.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,55 years and over,Females,135.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,55 years and over,Females,134.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,55 years and over,Females,142.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,55 years and over,Sex unknown,184.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,55 years and over,Sex unknown,204.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,55 years and over,Sex unknown,207.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,55 years and over,Sex unknown,196.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,55 years and over,Sex unknown,169.0
2014/2015,Adult criminal courts,Canada,Crimes against property,Total,Total,106.0
2015/2016,Adult criminal courts,Canada,Crimes against property,Total,Total,112.0
2016/2017,Adult criminal courts,Canada,Crimes against property,Total,Total,122.0
2017/2018,Adult criminal courts,Canada,Crimes against property,Total,Total,125.0
2018/2019,Adult criminal courts,Canada,Crimes against property,Total,Total,129.0
2014/2015,Adult criminal courts,Canada,Crimes against property,Total,Males,106.0
2015/2016,Adult criminal courts,Canada,Crimes against property,Total,Males,110.0
2016/2017,Adult criminal courts,Canada,Crimes against property,Total,Males,122.0
2017/2018,Adult criminal courts,Canada,Crimes against property,Total,Males,123.0
2018/2019,Adult criminal courts,Canada,Crimes against property,Total,Males,129.0
2014/2015,Adult criminal courts,Canada,Crimes against property,Total,Females,99.0
2015/2016,Adult criminal courts,Canada,Crimes against property,Total,Females,106.0
2016/2017,Adult criminal courts,Canada,Crimes against property,Total,Females,118.0
2017/2018,Adult criminal courts,Canada,Crimes against property,Total,Females,122.0
2018/2019,Adult criminal courts,Canada,Crimes against property,Total,Females,127.0
2014/2015,Adult criminal courts,Canada,Crimes against property,Total,Company,88.0
2015/2016,Adult criminal courts,Canada,Crimes against property,Total,Company,103.0
2016/2017,Adult criminal courts,Canada,Crimes against property,Total,Company,192.0
2017/2018,Adult criminal courts,Canada,Crimes against property,Total,Company,226.0
2018/2019,Adult criminal courts,Canada,Crimes against property,Total,Company,351.0
2014/2015,Adult criminal courts,Canada,Crimes against property,Total,Sex unknown,160.0
2015/2016,Adult criminal courts,Canada,Crimes against property,Total,Sex unknown,157.0
2016/2017,Adult criminal courts,Canada,Crimes against property,Total,Sex unknown,171.0
2017/2018,Adult criminal courts,Canada,Crimes against property,Total,Sex unknown,167.0
2018/2019,Adult criminal courts,Canada,Crimes against property,Total,Sex unknown,155.0
2014/2015,Adult criminal courts,Canada,Crimes against property,18 to 24 years,Total,116.0
2015/2016,Adult criminal courts,Canada,Crimes against property,18 to 24 years,Total,121.0
2016/2017,Adult criminal courts,Canada,Crimes against property,18 to 24 years,Total,134.0
2017/2018,Adult criminal courts,Canada,Crimes against property,18 to 24 years,Total,137.0
2018/2019,Adult criminal courts,Canada,Crimes against property,18 to 24 years,Total,143.0
2014/2015,Adult criminal courts,Canada,Crimes against property,18 to 24 years,Males,117.0
2015/2016,Adult criminal courts,Canada,Crimes against property,18 to 24 years,Males,123.0
2016/2017,Adult criminal courts,Canada,Crimes against property,18 to 24 years,Males,135.0
2017/2018,Adult criminal courts,Canada,Crimes against property,18 to 24 years,Males,138.0
2018/2019,Adult criminal courts,Canada,Crimes against property,18 to 24 years,Males,145.0
2014/2015,Adult criminal courts,Canada,Crimes against property,18 to 24 years,Females,101.0
2015/2016,Adult criminal courts,Canada,Crimes against property,18 to 24 years,Females,107.0
2016/2017,Adult criminal courts,Canada,Crimes against property,18 to 24 years,Females,120.0
2017/2018,Adult criminal courts,Canada,Crimes against property,18 to 24 years,Females,127.0
2018/2019,Adult criminal courts,Canada,Crimes against property,18 to 24 years,Females,131.0
2014/2015,Adult criminal courts,Canada,Crimes against property,18 to 24 years,Sex unknown,170.0
2015/2016,Adult criminal courts,Canada,Crimes against property,18 to 24 years,Sex unknown,155.0
2016/2017,Adult criminal courts,Canada,Crimes against property,18 to 24 years,Sex unknown,177.0
2017/2018,Adult criminal courts,Canada,Crimes against property,18 to 24 years,Sex unknown,183.0
2018/2019,Adult criminal courts,Canada,Crimes against property,18 to 24 years,Sex unknown,171.0
2014/2015,Adult criminal courts,Canada,Crimes against property,25 to 34 years,Total,106.0
2015/2016,Adult criminal courts,Canada,Crimes against property,25 to 34 years,Total,113.0
2016/2017,Adult criminal courts,Canada,Crimes against property,25 to 34 years,Total,123.0
2017/2018,Adult criminal courts,Canada,Crimes against property,25 to 34 years,Total,124.0
2018/2019,Adult criminal courts,Canada,Crimes against property,25 to 34 years,Total,133.0
2014/2015,Adult criminal courts,Canada,Crimes against property,25 to 34 years,Males,106.0
2015/2016,Adult criminal courts,Canada,Crimes against property,25 to 34 years,Males,108.0
2016/2017,Adult criminal courts,Canada,Crimes against property,25 to 34 years,Males,120.0
2017/2018,Adult criminal courts,Canada,Crimes against property,25 to 34 years,Males,120.0
2018/2019,Adult criminal courts,Canada,Crimes against property,25 to 34 years,Males,131.0
2014/2015,Adult criminal courts,Canada,Crimes against property,25 to 34 years,Females,106.0
2015/2016,Adult criminal courts,Canada,Crimes against property,25 to 34 years,Females,113.0
2016/2017,Adult criminal courts,Canada,Crimes against property,25 to 34 years,Females,125.0
2017/2018,Adult criminal courts,Canada,Crimes against property,25 to 34 years,Females,127.0
2018/2019,Adult criminal courts,Canada,Crimes against property,25 to 34 years,Females,134.0
2014/2015,Adult criminal courts,Canada,Crimes against property,25 to 34 years,Sex unknown,146.0
2015/2016,Adult criminal courts,Canada,Crimes against property,25 to 34 years,Sex unknown,167.0
2016/2017,Adult criminal courts,Canada,Crimes against property,25 to 34 years,Sex unknown,169.0
2017/2018,Adult criminal courts,Canada,Crimes against property,25 to 34 years,Sex unknown,168.0
2018/2019,Adult criminal courts,Canada,Crimes against property,25 to 34 years,Sex unknown,150.0
2014/2015,Adult criminal courts,Canada,Crimes against property,35 to 44 years,Total,106.0
2015/2016,Adult criminal courts,Canada,Crimes against property,35 to 44 years,Total,112.0
2016/2017,Adult criminal courts,Canada,Crimes against property,35 to 44 years,Total,123.0
2017/2018,Adult criminal courts,Canada,Crimes against property,35 to 44 years,Total,125.0
2018/2019,Adult criminal courts,Canada,Crimes against property,35 to 44 years,Total,127.0
2014/2015,Adult criminal courts,Canada,Crimes against property,35 to 44 years,Males,104.0
2015/2016,Adult criminal courts,Canada,Crimes against property,35 to 44 years,Males,108.0
2016/2017,Adult criminal courts,Canada,Crimes against property,35 to 44 years,Males,121.0
2017/2018,Adult criminal courts,Canada,Crimes against property,35 to 44 years,Males,120.0
2018/2019,Adult criminal courts,Canada,Crimes against property,35 to 44 years,Males,124.0
2014/2015,Adult criminal courts,Canada,Crimes against property,35 to 44 years,Females,99.0
2015/2016,Adult criminal courts,Canada,Crimes against property,35 to 44 years,Females,112.0
2016/2017,Adult criminal courts,Canada,Crimes against property,35 to 44 years,Females,120.0
2017/2018,Adult criminal courts,Canada,Crimes against property,35 to 44 years,Females,127.0
2018/2019,Adult criminal courts,Canada,Crimes against property,35 to 44 years,Females,129.0
2014/2015,Adult criminal courts,Canada,Crimes against property,35 to 44 years,Sex unknown,164.0
2015/2016,Adult criminal courts,Canada,Crimes against property,35 to 44 years,Sex unknown,160.0
2016/2017,Adult criminal courts,Canada,Crimes against property,35 to 44 years,Sex unknown,181.0
2017/2018,Adult criminal courts,Canada,Crimes against property,35 to 44 years,Sex unknown,171.0
2018/2019,Adult criminal courts,Canada,Crimes against property,35 to 44 years,Sex unknown,151.0
2014/2015,Adult criminal courts,Canada,Crimes against property,45 to 54 years,Total,98.0
2015/2016,Adult criminal courts,Canada,Crimes against property,45 to 54 years,Total,105.0
2016/2017,Adult criminal courts,Canada,Crimes against property,45 to 54 years,Total,114.0
2017/2018,Adult criminal courts,Canada,Crimes against property,45 to 54 years,Total,121.0
2018/2019,Adult criminal courts,Canada,Crimes against property,45 to 54 years,Total,125.0
2014/2015,Adult criminal courts,Canada,Crimes against property,45 to 54 years,Males,98.0
2015/2016,Adult criminal courts,Canada,Crimes against property,45 to 54 years,Males,102.0
2016/2017,Adult criminal courts,Canada,Crimes against property,45 to 54 years,Males,114.0
2017/2018,Adult criminal courts,Canada,Crimes against property,45 to 54 years,Males,121.0
2018/2019,Adult criminal courts,Canada,Crimes against property,45 to 54 years,Males,123.0
2014/2015,Adult criminal courts,Canada,Crimes against property,45 to 54 years,Females,92.0
2015/2016,Adult criminal courts,Canada,Crimes against property,45 to 54 years,Females,99.0
2016/2017,Adult criminal courts,Canada,Crimes against property,45 to 54 years,Females,110.0
2017/2018,Adult criminal courts,Canada,Crimes against property,45 to 54 years,Females,120.0
2018/2019,Adult criminal courts,Canada,Crimes against property,45 to 54 years,Females,123.0
2014/2015,Adult criminal courts,Canada,Crimes against property,45 to 54 years,Sex unknown,141.0
2015/2016,Adult criminal courts,Canada,Crimes against property,45 to 54 years,Sex unknown,152.0
2016/2017,Adult criminal courts,Canada,Crimes against property,45 to 54 years,Sex unknown,155.0
2017/2018,Adult criminal courts,Canada,Crimes against property,45 to 54 years,Sex unknown,145.0
2018/2019,Adult criminal courts,Canada,Crimes against property,45 to 54 years,Sex unknown,164.0
2014/2015,Adult criminal courts,Canada,Crimes against property,55 years and over,Total,72.0
2015/2016,Adult criminal courts,Canada,Crimes against property,55 years and over,Total,78.0
2016/2017,Adult criminal courts,Canada,Crimes against property,55 years and over,Total,91.0
2017/2018,Adult criminal courts,Canada,Crimes against property,55 years and over,Total,93.0
2018/2019,Adult criminal courts,Canada,Crimes against property,55 years and over,Total,99.0
2014/2015,Adult criminal courts,Canada,Crimes against property,55 years and over,Males,75.0
2015/2016,Adult criminal courts,Canada,Crimes against property,55 years and over,Males,79.0
2016/2017,Adult criminal courts,Canada,Crimes against property,55 years and over,Males,93.0
2017/2018,Adult criminal courts,Canada,Crimes against property,55 years and over,Males,99.0
2018/2019,Adult criminal courts,Canada,Crimes against property,55 years and over,Males,101.0
2014/2015,Adult criminal courts,Canada,Crimes against property,55 years and over,Females,64.0
2015/2016,Adult criminal courts,Canada,Crimes against property,55 years and over,Females,64.0
2016/2017,Adult criminal courts,Canada,Crimes against property,55 years and over,Females,73.0
2017/2018,Adult criminal courts,Canada,Crimes against property,55 years and over,Females,78.0
2018/2019,Adult criminal courts,Canada,Crimes against property,55 years and over,Females,85.0
2014/2015,Adult criminal courts,Canada,Crimes against property,55 years and over,Sex unknown,137.0
2015/2016,Adult criminal courts,Canada,Crimes against property,55 years and over,Sex unknown,157.0
2016/2017,Adult criminal courts,Canada,Crimes against property,55 years and over,Sex unknown,166.0
2017/2018,Adult criminal courts,Canada,Crimes against property,55 years and over,Sex unknown,110.0
2018/2019,Adult criminal courts,Canada,Crimes against property,55 years and over,Sex unknown,127.0
2014/2015,Adult criminal courts,Canada,Administration of justice,Total,Total,75.0
2015/2016,Adult criminal courts,Canada,Administration of justice,Total,Total,79.0
2016/2017,Adult criminal courts,Canada,Administration of justice,Total,Total,86.0
2017/2018,Adult criminal courts,Canada,Administration of justice,Total,Total,84.0
2018/2019,Adult criminal courts,Canada,Administration of justice,Total,Total,86.0
2014/2015,Adult criminal courts,Canada,Administration of justice,Total,Males,70.0
2015/2016,Adult criminal courts,Canada,Administration of justice,Total,Males,75.0
2016/2017,Adult criminal courts,Canada,Administration of justice,Total,Males,83.0
2017/2018,Adult criminal courts,Canada,Administration of justice,Total,Males,81.0
2018/2019,Adult criminal courts,Canada,Administration of justice,Total,Males,84.0
2014/2015,Adult criminal courts,Canada,Administration of justice,Total,Females,80.0
2015/2016,Adult criminal courts,Canada,Administration of justice,Total,Females,87.0
2016/2017,Adult criminal courts,Canada,Administration of justice,Total,Females,92.0
2017/2018,Adult criminal courts,Canada,Administration of justice,Total,Females,90.0
2018/2019,Adult criminal courts,Canada,Administration of justice,Total,Females,98.0
