Year,Geography,Industry,Enterprise size,Innovations with environmental benefits,GeoCode,Value
2017/2019,Canada,Utilities,"Total, all enterprise sizes",Innovations with environmental benefits related to the end user or consumer,,42.0
2017/2019,Canada,Utilities,"Total, all enterprise sizes",Reduced energy use or increased energy efficiency for the end user or consumer,,35.0
2017/2019,Canada,Utilities,"Total, all enterprise sizes",Reduced material use or increased recycling for the end user or consumer,,11.4
2017/2019,Canada,Utilities,"Total, all enterprise sizes","Reduced air, water, soil or noise pollution for the end user or consumer",,22.9
2017/2019,Canada,Utilities,"Total, all enterprise sizes",Reduced greenhouse gas emissions for the end user or consumer,,22.4
2017/2019,Canada,Utilities,"Total, all enterprise sizes",Innovations with other environmental benefits,,19.8
2017/2019,Canada,Utilities,Small enterprises (20 to 99 employees),Innovations with any environmental benefits,,56.2
2017/2019,Canada,Utilities,Small enterprises (20 to 99 employees),Innovations with environmental benefits from production through efficient use of resources,,48.3
2017/2019,Canada,Utilities,Small enterprises (20 to 99 employees),Improved resource efficiency through reduced material use per unit of output,,21.2
2017/2019,Canada,Utilities,Small enterprises (20 to 99 employees),Improved resource efficiency through reduced energy use per unit of output,,36.1
2017/2019,Canada,Utilities,Small enterprises (20 to 99 employees),Improved resource efficiency by replacing material with less greenhouse-gas-intensive alternatives,,12.2
2017/2019,Canada,Utilities,Small enterprises (20 to 99 employees),"Reduced consumption of resources through recycling (water, waste or material)",,22.8
2017/2019,Canada,Utilities,Small enterprises (20 to 99 employees),"Renewable fuels (ethanol, biodiesel, biogas, biochar, hydrogen)",,10.5
2017/2019,Canada,Utilities,Small enterprises (20 to 99 employees),Innovations with environmental benefits related to increased environmental protection activities,,36.2
2017/2019,Canada,Utilities,Small enterprises (20 to 99 employees),"Reduced air, water, soil or noise pollution",,28.9
2017/2019,Canada,Utilities,Small enterprises (20 to 99 employees),Reduced greenhouse gas emissions,,30.0
2017/2019,Canada,Utilities,Small enterprises (20 to 99 employees),Innovations with environmental benefits related to the end user or consumer,,38.8
2017/2019,Canada,Utilities,Small enterprises (20 to 99 employees),Reduced energy use or increased energy efficiency for the end user or consumer,,29.9
2017/2019,Canada,Utilities,Small enterprises (20 to 99 employees),Reduced material use or increased recycling for the end user or consumer,,8.8
2017/2019,Canada,Utilities,Small enterprises (20 to 99 employees),"Reduced air, water, soil or noise pollution for the end user or consumer",,20.2
2017/2019,Canada,Utilities,Small enterprises (20 to 99 employees),Reduced greenhouse gas emissions for the end user or consumer,,19.5
2017/2019,Canada,Utilities,Small enterprises (20 to 99 employees),Innovations with other environmental benefits,,15.8
2017/2019,Canada,Utilities,Medium-sized enterprises (100 to 249 employees),Innovations with any environmental benefits,,58.7
2017/2019,Canada,Utilities,Medium-sized enterprises (100 to 249 employees),Innovations with environmental benefits from production through efficient use of resources,,50.5
2017/2019,Canada,Utilities,Medium-sized enterprises (100 to 249 employees),Improved resource efficiency through reduced material use per unit of output,,25.7
2017/2019,Canada,Utilities,Medium-sized enterprises (100 to 249 employees),Improved resource efficiency through reduced energy use per unit of output,,30.0
2017/2019,Canada,Utilities,Medium-sized enterprises (100 to 249 employees),Improved resource efficiency by replacing material with less greenhouse-gas-intensive alternatives,,22.4
2017/2019,Canada,Utilities,Medium-sized enterprises (100 to 249 employees),"Reduced consumption of resources through recycling (water, waste or material)",,32.3
2017/2019,Canada,Utilities,Medium-sized enterprises (100 to 249 employees),"Renewable fuels (ethanol, biodiesel, biogas, biochar, hydrogen)",,17.3
2017/2019,Canada,Utilities,Medium-sized enterprises (100 to 249 employees),Innovations with environmental benefits related to increased environmental protection activities,,58.7
2017/2019,Canada,Utilities,Medium-sized enterprises (100 to 249 employees),"Reduced air, water, soil or noise pollution",,51.3
2017/2019,Canada,Utilities,Medium-sized enterprises (100 to 249 employees),Reduced greenhouse gas emissions,,40.4
2017/2019,Canada,Utilities,Medium-sized enterprises (100 to 249 employees),Innovations with environmental benefits related to the end user or consumer,,39.8
2017/2019,Canada,Utilities,Medium-sized enterprises (100 to 249 employees),Reduced energy use or increased energy efficiency for the end user or consumer,,30.0
2017/2019,Canada,Utilities,Medium-sized enterprises (100 to 249 employees),Reduced material use or increased recycling for the end user or consumer,,15.1
2017/2019,Canada,Utilities,Medium-sized enterprises (100 to 249 employees),"Reduced air, water, soil or noise pollution for the end user or consumer",,32.5
2017/2019,Canada,Utilities,Medium-sized enterprises (100 to 249 employees),Reduced greenhouse gas emissions for the end user or consumer,,24.8
2017/2019,Canada,Utilities,Medium-sized enterprises (100 to 249 employees),Innovations with other environmental benefits,,0.0
2017/2019,Canada,Utilities,Large enterprises (250 and more employees),Innovations with any environmental benefits,,80.5
2017/2019,Canada,Utilities,Large enterprises (250 and more employees),Innovations with environmental benefits from production through efficient use of resources,,65.4
2017/2019,Canada,Utilities,Large enterprises (250 and more employees),Improved resource efficiency through reduced material use per unit of output,,39.5
2017/2019,Canada,Utilities,Large enterprises (250 and more employees),Improved resource efficiency through reduced energy use per unit of output,,52.5
2017/2019,Canada,Utilities,Large enterprises (250 and more employees),Improved resource efficiency by replacing material with less greenhouse-gas-intensive alternatives,,43.4
2017/2019,Canada,Utilities,Large enterprises (250 and more employees),"Reduced consumption of resources through recycling (water, waste or material)",,43.5
2017/2019,Canada,Utilities,Large enterprises (250 and more employees),"Renewable fuels (ethanol, biodiesel, biogas, biochar, hydrogen)",,25.4
2017/2019,Canada,Utilities,Large enterprises (250 and more employees),Innovations with environmental benefits related to increased environmental protection activities,,75.0
2017/2019,Canada,Utilities,Large enterprises (250 and more employees),"Reduced air, water, soil or noise pollution",,60.5
2017/2019,Canada,Utilities,Large enterprises (250 and more employees),Reduced greenhouse gas emissions,,66.0
2017/2019,Canada,Utilities,Large enterprises (250 and more employees),Innovations with environmental benefits related to the end user or consumer,,52.0
2017/2019,Canada,Utilities,Large enterprises (250 and more employees),Reduced energy use or increased energy efficiency for the end user or consumer,,52.0
2017/2019,Canada,Utilities,Large enterprises (250 and more employees),Reduced material use or increased recycling for the end user or consumer,,16.5
2017/2019,Canada,Utilities,Large enterprises (250 and more employees),"Reduced air, water, soil or noise pollution for the end user or consumer",,25.5
2017/2019,Canada,Utilities,Large enterprises (250 and more employees),Reduced greenhouse gas emissions for the end user or consumer,,29.4
2017/2019,Canada,Utilities,Large enterprises (250 and more employees),Innovations with other environmental benefits,,41.4
2017/2019,Canada,Manufacturing,"Total, all enterprise sizes",Innovations with any environmental benefits,,62.0
2017/2019,Canada,Manufacturing,"Total, all enterprise sizes",Innovations with environmental benefits from production through efficient use of resources,,57.0
2017/2019,Canada,Manufacturing,"Total, all enterprise sizes",Improved resource efficiency through reduced material use per unit of output,,35.5
2017/2019,Canada,Manufacturing,"Total, all enterprise sizes",Improved resource efficiency through reduced energy use per unit of output,,32.8
2017/2019,Canada,Manufacturing,"Total, all enterprise sizes",Improved resource efficiency by replacing material with less greenhouse-gas-intensive alternatives,,15.6
2017/2019,Canada,Manufacturing,"Total, all enterprise sizes","Reduced consumption of resources through recycling (water, waste or material)",,33.7
2017/2019,Canada,Manufacturing,"Total, all enterprise sizes","Renewable fuels (ethanol, biodiesel, biogas, biochar, hydrogen)",,3.1
2017/2019,Canada,Manufacturing,"Total, all enterprise sizes",Innovations with environmental benefits related to increased environmental protection activities,,26.3
2017/2019,Canada,Manufacturing,"Total, all enterprise sizes","Reduced air, water, soil or noise pollution",,22.4
2017/2019,Canada,Manufacturing,"Total, all enterprise sizes",Reduced greenhouse gas emissions,,13.8
2017/2019,Canada,Manufacturing,"Total, all enterprise sizes",Innovations with environmental benefits related to the end user or consumer,,35.2
2017/2019,Canada,Manufacturing,"Total, all enterprise sizes",Reduced energy use or increased energy efficiency for the end user or consumer,,21.4
2017/2019,Canada,Manufacturing,"Total, all enterprise sizes",Reduced material use or increased recycling for the end user or consumer,,24.8
2017/2019,Canada,Manufacturing,"Total, all enterprise sizes","Reduced air, water, soil or noise pollution for the end user or consumer",,11.9
2017/2019,Canada,Manufacturing,"Total, all enterprise sizes",Reduced greenhouse gas emissions for the end user or consumer,,9.3
2017/2019,Canada,Manufacturing,"Total, all enterprise sizes",Innovations with other environmental benefits,,11.0
2017/2019,Canada,Manufacturing,Small enterprises (20 to 99 employees),Innovations with any environmental benefits,,59.2
